City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,Corinth,37.9407,22.9573,57.0,54,91,3.6,GR,2021-02-07 20:54:25
165,Mlonggo,-6.5333,110.7,77.02,90,100,16.24,ID,2021-02-07 20:54:25
166,Kununurra,-15.7667,128.7333,78.8,82,90,4.61,AU,2021-02-07 20:52:41
167,Nadym,65.5333,72.5167,2.43,94,100,19.01,RU,2021-02-07 20:54:25
168,Cayambe,0.05,-78.1333,71.6,53,40,20.71,EC,2021-02-07 20:54:25
169,Hajos,46.3986,19.1206,43.0,99,100,13.06,HU,2021-02-07 20:54:25
170,Vostok,46.4856,135.8833,-15.72,90,100,3.15,RU,2021-02-07 20:54:25
171,Nadvoitsy,63.8667,34.3167,-4.32,92,16,4.88,RU,2021-02-07 20:54:26
172,Cape Town,-33.9258,18.4232,68.0,63,0,18.41,ZA,2021-02-07 20:51:19
173,Shunyi,40.125,116.6453,30.0,53,0,2.24,CN,2021-02-07 20:54:26
174,Guangyuan,32.442,105.823,43.0,56,53,2.57,CN,2021-02-07 20:54:26
175,Kaseda,31.4167,130.3167,53.49,69,15,14.16,JP,2021-02-07 20:54:26
176,Lorengau,-2.0226,147.2712,82.18,78,100,6.64,PG,2021-02-07 20:52:25
177,Catazaja,17.725,-92.0167,84.87,58,2,4.41,MX,2021-02-07 20:54:26
178,Xining,36.6167,101.7667,22.98,55,11,2.26,CN,2021-02-07 20:54:26
179,Bilma,18.6853,12.9164,69.35,20,100,7.74,NE,2021-02-07 20:51:55
180,Husavik,66.0449,-17.3389,32.0,80,90,2.3,IS,2021-02-07 20:51:53
181,Chernyshkovskiy,48.4219,42.2308,16.95,75,94,7.74,RU,2021-02-07 20:54:27
182,Matay,28.419,30.7792,56.84,50,5,3.27,EG,2021-02-07 20:54:27
183,Caceres,39.522,-6.3748,48.0,90,100,7.0,ES,2021-02-07 20:50:29
184,Mar Del Plata,-38.0023,-57.5575,61.0,94,90,13.8,AR,2021-02-07 20:54:28
185,Genhe,50.7833,121.5167,-21.71,85,0,2.62,CN,2021-02-07 20:54:28
186,Adrar,20.5022,-10.0711,60.04,32,0,9.28,MR,2021-02-07 20:54:28
187,Buffalo,42.8865,-78.8784,19.0,61,84,5.01,US,2021-02-07 20:53:33
188,Andenes,69.3143,16.1194,32.0,74,75,20.71,NO,2021-02-07 20:54:28
189,Rawlins,41.7911,-107.2387,33.8,40,90,36.82,US,2021-02-07 20:54:28
190,Vardo,70.3705,31.1107,23.0,86,90,36.82,NO,2021-02-07 20:54:28
191,Yantal,56.8471,105.2542,18.48,93,99,5.37,RU,2021-02-07 20:54:28
