City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Padang,ID,-0.9492,100.3543,73.4,94,20,3.44,few clouds
277,Isangel,VU,-19.55,169.2667,84.2,74,40,6.91,scattered clouds
278,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,93,90,6.71,snow
279,Ribeira Grande,PT,38.5167,-28.7,59.04,77,66,13.87,broken clouds
280,La Romana,DO,18.4273,-68.9728,77.0,88,20,9.22,few clouds
281,Chegem,RU,43.2833,43.1333,24.8,100,90,4.47,mist
282,Gariaband,IN,20.635,82.0614,50.14,47,52,1.54,broken clouds
283,Ayan,RU,56.45,138.1667,-5.13,88,100,21.83,overcast clouds
284,Tuatapere,NZ,-46.1333,167.6833,67.93,56,100,6.67,moderate rain
285,Emporia,US,38.4039,-96.1817,12.2,92,90,10.36,light snow
286,Ouango,CF,4.3133,22.5552,66.63,28,90,2.84,overcast clouds
287,Krasnogorskoye,RU,52.2953,86.1979,25.14,98,98,3.2,overcast clouds
288,Rawson,AR,-43.3002,-65.1023,59.14,58,12,14.23,few clouds
289,Villablino,ES,42.9393,-6.3194,39.99,96,100,1.01,overcast clouds
290,Ygatimi,PY,-24.0833,-55.5,69.85,69,0,2.86,clear sky
291,Noumea,NC,-22.2763,166.4572,84.2,65,0,5.75,clear sky
292,Mahebourg,MU,-20.4081,57.7,78.8,83,40,5.75,light rain
293,Nkoteng,CM,4.5167,12.0333,71.06,89,90,1.95,overcast clouds
294,Tucuman,AR,-26.8241,-65.2226,84.2,61,0,1.86,clear sky
295,Price,US,39.5994,-110.8107,48.2,15,1,16.11,clear sky
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.42,95,100,7.38,overcast clouds
297,Badiraguato,MX,25.3667,-107.5167,75.0,53,75,4.61,broken clouds
298,Grand Gaube,MU,-20.0064,57.6608,75.99,86,43,1.99,scattered clouds
299,Vila,PT,42.0304,-8.1588,46.99,95,100,13.0,light rain
300,Pangnirtung,CA,66.1451,-65.7125,26.98,77,0,11.52,clear sky
301,Surt,LY,31.2089,16.5887,69.33,26,100,16.17,overcast clouds
302,Am Timan,TD,11.0297,20.2827,62.53,28,70,5.5,broken clouds
303,Akdepe,TM,42.0551,59.3788,41.0,87,0,6.91,clear sky
304,Viedma,AR,-40.8135,-62.9967,60.01,65,58,10.02,broken clouds
305,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,59,0,19.57,clear sky
306,Mount Gambier,AU,-37.8333,140.7667,59.0,67,90,13.8,overcast clouds
307,Klyuchi,RU,52.2667,79.1667,13.51,94,42,9.04,scattered clouds
308,Duvan,RU,55.695,57.9024,-5.73,89,100,14.2,light snow
309,Arlit,NE,18.7369,7.3853,69.85,18,100,6.02,overcast clouds
310,Almenara,BR,-16.1836,-40.6944,73.87,87,100,0.4,overcast clouds
311,Talnakh,RU,69.4865,88.3972,-18.44,75,17,2.37,few clouds
312,San Jose,US,37.3394,-121.895,68.0,45,75,6.91,broken clouds
313,Iqaluit,CA,63.7506,-68.5145,30.2,74,90,18.41,light snow
314,Kijang,KR,35.2442,129.2139,33.8,32,0,10.36,clear sky
315,Urumqi,CN,43.801,87.6005,8.6,92,100,2.24,mist
316,Filingue,NE,14.3521,3.3168,75.81,18,78,9.78,broken clouds
317,Bereda,ES,43.2686,-7.5406,48.99,100,100,8.99,light rain
318,Buta,CD,2.7858,24.73,65.53,44,100,0.58,overcast clouds
319,Russell,US,32.3502,-85.1999,51.8,76,1,4.21,clear sky
320,Kavieng,PG,-2.5744,150.7967,84.78,72,43,8.59,scattered clouds
321,Mount Isa,AU,-20.7333,139.5,82.4,69,90,11.5,overcast clouds
322,Najran,SA,17.4924,44.1277,60.8,48,20,3.49,few clouds
323,Ibra,OM,22.6906,58.5334,51.94,89,0,2.26,clear sky
324,Jacmel,HT,18.2342,-72.5347,75.54,70,27,1.72,scattered clouds
325,La Libertad,EC,-2.2333,-80.9,77.7,79,65,8.95,broken clouds
326,Diffa,NE,13.3154,12.6113,66.45,23,1,9.6,clear sky
327,Kiboga,UG,0.9161,31.7742,63.32,39,62,0.36,broken clouds
328,Polunochnoye,RU,60.8697,60.4153,-11.76,91,100,5.48,light snow
329,Narsaq,GL,60.9167,-46.05,37.4,30,20,40.29,few clouds
330,North Bend,US,43.4065,-124.2243,50.0,62,20,9.22,few clouds
331,Nanakuli,US,21.3906,-158.1547,78.8,44,20,8.05,few clouds
332,Kodiak,US,57.79,-152.4072,35.6,55,1,3.44,clear sky
333,Hasaki,JP,35.7333,140.8333,41.0,56,75,4.61,light rain
334,Eenhana,NA,-17.4667,16.3333,80.6,61,75,3.44,moderate rain
335,Saraland,US,30.8207,-88.0706,50.0,66,1,5.75,clear sky
336,Nchelenge,ZM,-9.3451,28.734,72.37,81,100,6.11,light rain
337,Honolulu,US,21.3069,-157.8583,78.8,41,40,9.22,scattered clouds
338,Tateyama,JP,34.9833,139.8667,46.4,53,40,11.5,scattered clouds
339,Waddan,LY,29.1614,16.139,72.52,18,100,13.33,overcast clouds
340,Saint George,US,37.1041,-113.5841,62.6,16,1,3.44,clear sky
341,Saint-Denis,FR,48.9167,2.3333,33.01,80,90,5.75,overcast clouds
342,Kavaratti,IN,10.5669,72.642,80.82,69,40,9.17,scattered clouds
343,Nhulunbuy,AU,-12.2333,136.7667,82.4,78,40,14.97,light rain
344,Ballina,AU,-28.8667,153.5667,80.6,61,40,18.41,scattered clouds
345,Mallapuram,IN,11.9667,78.25,60.82,76,85,3.83,overcast clouds
346,Zabol,AF,32.25,67.25,42.87,51,5,4.61,clear sky
347,Alice Springs,AU,-23.7,133.8833,86.0,21,0,16.11,clear sky
348,Teguise,ES,29.0605,-13.564,59.0,77,40,1.14,scattered clouds
